epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,401165,0.83382,0.61235,0.90024,0.53419,0.5685,0.52276,0.33435,1.3118,1.55564,1.11211,0.004357,0.004357,0.004357
59,407969,0.83151,0.61054,0.90021,0.53448,0.57138,0.52197,0.33387,1.31276,1.55582,1.11297,0.004258,0.004258,0.004258
60,414820,0.8253,0.60424,0.89877,0.53413,0.57043,0.52389,0.33401,1.31456,1.56418,1.11362,0.004159,0.004159,0.004159
61,421646,0.8248,0.60235,0.8977,0.53437,0.56806,0.52274,0.33348,1.31358,1.57629,1.11363,0.00406,0.00406,0.00406
62,428535,0.81978,0.60011,0.89691,0.54283,0.55615,0.52361,0.33418,1.31335,1.57645,1.11482,0.003961,0.003961,0.003961
63,435472,0.81855,0.59726,0.8971,0.53581,0.56568,0.52251,0.33412,1.31593,1.58303,1.11559,0.003862,0.003862,0.003862
64,442358,0.81499,0.5936,0.89516,0.53745,0.5661,0.52309,0.33375,1.31664,1.58557,1.11547,0.003763,0.003763,0.003763
65,449243,0.80982,0.59052,0.89502,0.53626,0.56918,0.52327,0.33363,1.31947,1.58347,1.1187,0.003664,0.003664,0.003664
66,456233,0.80694,0.585,0.8937,0.53655,0.56633,0.52077,0.33185,1.3193,1.59012,1.11765,0.003565,0.003565,0.003565
67,463152,0.80397,0.58526,0.89271,0.54318,0.56065,0.52209,0.33299,1.31839,1.58828,1.11659,0.003466,0.003466,0.003466
68,470078,0.80034,0.58008,0.89168,0.54205,0.56472,0.52162,0.33348,1.31869,1.59459,1.11757,0.003367,0.003367,0.003367
69,476971,0.79542,0.57498,0.89079,0.54189,0.56413,0.52116,0.33376,1.32118,1.60445,1.11961,0.003268,0.003268,0.003268
70,483853,0.79274,0.57411,0.88969,0.54178,0.56369,0.52115,0.33362,1.32082,1.61269,1.11947,0.003169,0.003169,0.003169
71,490690,0.78802,0.56962,0.88906,0.54305,0.56231,0.52122,0.33364,1.32166,1.61731,1.12003,0.00307,0.00307,0.00307
72,497602,0.78469,0.56508,0.88731,0.54578,0.55967,0.52418,0.33391,1.32031,1.6219,1.11998,0.002971,0.002971,0.002971
73,504442,0.78163,0.56074,0.88605,0.54705,0.55865,0.52281,0.33313,1.32167,1.6203,1.12183,0.002872,0.002872,0.002872
74,511297,0.77604,0.55894,0.88521,0.54589,0.56126,0.52484,0.33431,1.32187,1.62196,1.12157,0.002773,0.002773,0.002773
75,518108,0.77257,0.55435,0.88437,0.54759,0.55882,0.52539,0.3346,1.32429,1.6285,1.12312,0.002674,0.002674,0.002674
76,525011,0.76878,0.55091,0.88316,0.5476,0.55947,0.52509,0.33426,1.32777,1.64193,1.12425,0.002575,0.002575,0.002575
77,531869,0.76582,0.54815,0.88225,0.54416,0.56145,0.524,0.33393,1.32955,1.6491,1.12598,0.002476,0.002476,0.002476
78,538770,0.76159,0.54455,0.88104,0.54457,0.56198,0.52419,0.33361,1.32931,1.66067,1.1259,0.002377,0.002377,0.002377
79,545619,0.75718,0.54059,0.88073,0.54143,0.56925,0.52587,0.3346,1.32967,1.66399,1.12708,0.002278,0.002278,0.002278
80,552499,0.75088,0.53425,0.87977,0.5387,0.572,0.52641,0.33422,1.33109,1.67168,1.12727,0.002179,0.002179,0.002179
81,559428,0.7475,0.53233,0.87778,0.53585,0.5769,0.52764,0.33555,1.33228,1.67743,1.12817,0.00208,0.00208,0.00208
82,566345,0.7415,0.52682,0.87611,0.5404,0.56781,0.5274,0.3349,1.33379,1.68634,1.12923,0.001981,0.001981,0.001981
83,573237,0.73544,0.5209,0.87555,0.54214,0.56497,0.52573,0.334,1.33462,1.70142,1.131,0.001882,0.001882,0.001882
84,580201,0.73244,0.51816,0.87428,0.54299,0.56572,0.52585,0.3344,1.33549,1.70655,1.1321,0.001783,0.001783,0.001783
85,587173,0.72708,0.51297,0.87303,0.54772,0.56172,0.52421,0.33402,1.33557,1.72051,1.1325,0.001684,0.001684,0.001684
86,594155,0.72157,0.50839,0.87187,0.55034,0.56166,0.52371,0.33369,1.33847,1.72619,1.13472,0.001585,0.001585,0.001585
87,601028,0.71482,0.50287,0.87045,0.54812,0.56365,0.52308,0.33337,1.34214,1.73885,1.13656,0.001486,0.001486,0.001486
88,607976,0.70805,0.49844,0.8687,0.54632,0.56627,0.52344,0.33301,1.34081,1.735,1.13568,0.001387,0.001387,0.001387
89,614928,0.70118,0.49049,0.86677,0.54979,0.565,0.52342,0.33294,1.33998,1.73851,1.13601,0.001288,0.001288,0.001288
